N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
51,LG유플러스,"12,100",50,+0.41%,"5,000","52,830","436,611",30.55,"3,314,692",6.67,6.30,
52,현대제철,"38,300",250,+0.66%,"5,000","51,110","133,446",19.43,"952,975",-20.75,0.10,
53,KODEX 200,"37,850",740,+1.99%,0,"50,738","134,050",17.52,"8,705,601",N/A,N/A,
54,두산중공업,"13,350",250,+1.91%,"5,000","50,014","374,637",11.41,"6,937,917",-2.88,-14.73,
55,현대중공업지주,"313,500","8,500",+2.79%,"5,000","49,529","15,799",17.09,"61,196",-18.99,2.20,
56,강원랜드,"23,100",350,+1.54%,500,"49,420","213,940",22.25,"544,867",-26.01,9.16,
57,오리온,"125,000",500,+0.40%,500,"49,420","39,536",41.91,"54,214",18.05,14.24,
58,유한양행,"73,500",200,+0.27%,"1,000","49,140","66,857",20.79,"790,342",27.07,2.43,
59,한국타이어앤테크놀로지,"39,650",550,+1.41%,500,"49,116","123,875",38.53,"206,193",19.08,6.03,
60,대한항공,"26,900",600,+2.28%,"5,000","46,862","174,210",12.34,"2,185,097",-6.13,-22.09,
61,한미사이언스,"69,200",500,+0.73%,500,"45,680","66,011",1.69,"403,302",308.93,4.73,
62,한국금융지주,"80,000",700,+0.88%,"5,000","44,581","55,726",29.94,"385,295",7.32,18.14,
63,아모레G,"53,800",500,+0.94%,500,"44,362","82,458",19.53,"89,722",190.11,4.12,
64,SK케미칼,"376,500","2,500",-0.66%,"5,000","44,206","11,741",16.50,"135,767",17.18,1.51,
65,삼성중공업,"6,930",30,-0.43%,"5,000","43,659","630,000",15.24,"8,244,065",-3.49,-21.88,
66,녹십자,"363,500","12,500",-3.32%,"5,000","42,481","11,687",18.60,"400,451",97.51,-0.35,
67,금호석유,"138,500",0,0.00%,"5,000","42,198","30,468",28.16,"293,147",11.85,11.84,
68,이마트,"151,000","1,500",+1.00%,"5,000","42,092","27,876",31.52,"84,723",7.54,2.76,
69,HMM,"12,850",200,-1.53%,"5,000","41,984","326,726",6.44,"4,231,536",-41.45,-55.46,
70,LG이노텍,"174,000","11,000",-5.95%,"5,000","41,181","23,667",34.04,"685,846",31.54,4.73,
71,삼성카드,"35,250",650,+1.88%,"5,000","40,840","115,859",10.21,"133,025",9.91,5.04,
72,현대건설,"36,650",350,+0.96%,"5,000","40,812","111,356",18.74,"1,083,579",17.87,6.30,
73,한진칼,"60,500",300,+0.50%,"2,500","40,089","66,263",15.14,"127,704",-9.98,-17.56,
74,한미약품,"332,000","3,000",+0.91%,"2,500","39,319","11,843",13.68,"56,055","-3,161.90",7.30,
75,맥쿼리인프라,"11,200",0,0.00%,0,"39,093","349,044",14.38,"1,590,303",N/A,N/A,
76,삼성증권,"42,950",800,+1.90%,"5,000","38,354","89,300",25.03,"543,576",8.15,8.15,
77,CJ대한통운,"163,500",500,+0.31%,"5,000","37,298","22,812",20.79,"62,188",29.48,1.41,
78,롯데지주,"34,700",750,+2.21%,200,"36,404","104,909",11.18,"147,056",-5.08,-5.21,
79,쌍용양회,"7,000",100,+1.45%,100,"35,270","503,860",2.83,"1,159,869",28.11,7.02,
80,GS,"37,500",700,+1.90%,"5,000","34,843","92,915",18.91,"243,421",-40.67,6.26,
81,SKC,"91,600",700,+0.77%,"5,000","34,687","37,868",7.65,"290,221",40.66,3.86,
82,현대차2우B,"91,600",700,+0.77%,"5,000","33,421","36,485",60.92,"66,057",21.89,N/A,
83,NH투자증권,"11,800",300,+2.61%,"5,000","33,206","281,409",14.65,"1,359,762",5.73,9.12,
84,에스원,"85,700",600,+0.71%,500,"32,565","37,999",55.33,"51,640",22.55,11.32,
85,동서,"32,000",50,+0.16%,500,"31,904","99,700",4.51,"210,518",23.07,10.53,
86,DB손해보험,"45,000",400,+0.90%,500,"31,860","70,800",40.52,"103,802",5.73,6.92,
87,호텔신라,"80,900","1,200",+1.51%,"5,000","31,752","39,248",20.44,"326,503",-24.55,20.16,
88,더존비즈온,"104,000",500,+0.48%,500,"31,310","30,106",45.58,"97,553",64.64,18.78,
89,대림산업,"88,400",400,+0.45%,"5,000","30,763","34,800",36.42,"487,366",4.68,11.74,
90,두산밥캣,"30,000",450,+1.52%,500,"30,075","100,249",20.47,"254,411",16.23,7.05,
91,키움증권,"126,500","3,000",+2.43%,"5,000","30,033","23,741",22.65,"234,899",5.58,16.97,
92,LG화학우,"378,500",500,+0.13%,"5,000","29,102","7,689",60.46,"30,728",35.36,N/A,
93,두산퓨얼셀,"52,400","2,600",-4.73%,100,"29,079","55,494",15.04,"3,138,748",153.67,N/A,
94,GS건설,"35,850",800,+2.28%,"5,000","28,744","80,179",27.61,"1,032,219",9.38,11.79,
95,대우조선해양,"26,650",450,+1.72%,"5,000","28,593","107,291",9.05,"550,934",16.40,-1.22,
96,롯데쇼핑,"100,000","1,000",+1.01%,"5,000","28,289","28,289",11.28,"92,834",-2.11,-8.14,
97,한국가스공사,"30,300",0,0.00%,"5,000","27,971","92,313",8.66,"266,739",-5.57,0.48,
98,대웅,"47,400","7,000",-12.87%,500,"27,559","58,142",5.44,"5,105,833",54.61,10.43,
